module,count
numpy,477
matplotlib.pyplot,378
pandas,259
sklearn.metrics,205
sklearn.model_selection,166
seaborn,124
keras.layers,113
os,95
sklearn.linear_model,95
sklearn,93
matplotlib,91
sklearn.preprocessing,91
sklearn.ensemble,59
time,57
IPython.display,52
math,47
sys,47
scipy,45
keras.models,44
tensorflow,43
sklearn.cluster,42
datetime,42
sklearn.decomposition,40
random,40
warnings,37
collections,36
scipy.stats,34
sklearn.tree,34
keras,33
sklearn.svm,29
itertools,27
sklearn.neighbors,25
PIL,25
torch,25
tensorflow.keras.layers,24
glob,22
re,21
torchvision,21
__future__,20
pylab,20
sklearn.datasets,19
keras.layers.core,19
xgboost,18
ipywidgets,18
pickle,18
cv2,18
keras.optimizers,17
scipy.misc,16
sklearn.cross_validation,15
sklearn.manifold,15
abupy,15
sklearn.pipeline,14
keras.callbacks,14
bokeh.plotting,14
google.colab,13
keras.utils,13
tqdm,13
scipy.optimize,13
json,12
scipy.spatial.distance,11
keras.layers.convolutional,11
mpl_toolkits.mplot3d,11
utils,11
sklearn.naive_bayes,11
csv,11
plotly.offline,11
reg_utils,11
scipy.cluster.hierarchy,10
torch.nn,10
hzy,10
sklearn.feature_selection,10
matplotlib.patches,10
sklearn.base,10
matplotlib.colors,10
hyperopt,10
networkx,9
matplotlib.ticker,9
tensorflow.keras,9
helper,9
skimage,9
sklearn.feature_extraction.text,9
keras.preprocessing.image,9
heapq,9
requests,8
pandas.tools.plotting,8
joblib,8
torch.nn.functional,8
pydotplus,8
folium,8
segmentation,8
matplotlib.cm,7
sklearn.utils,7
bs4,7
plotly.graph_objs,7
copy,7
statsmodels.api,7
eptooling,7
nltk,6
matplotlib.pylab,6
shutil,6
urllib.request,6
pathlib,6
bokeh.io,6
cs231n.gradient_check,6
yolo3.model,6
scipy.io,6
sklearn.discriminant_analysis,6
functions,6
numpy.random,5
functools,5
astropy,5
astropy.cosmology,5
matplotlib.mlab,5
io,5
scipy.spatial,5
subprocess,5
torch.utils.data.sampler,5
scipy.ndimage,5
torch.utils.data,5
gc,5
pycotools3,5
scipy.interpolate,5
cs231n.fast_layers,5
matplotlib.image,5
timeit,5
plotly.express,5
my_model_selectors,5
tensorflow.keras.models,5
pyart,5
viz,5
autograd,5
scipy.sparse,4
tensorflow.examples.tutorials.mnist,4
keras.preprocessing.text,4
keras.datasets,4
zipfile,4
keras.regularizers,4
operator,4
pprint,4
torchvision.transforms,4
mrcnn,4
mrcnn.model,4
torch.optim,4
RS,4
graphviz,4
geopy.geocoders,4
IPython,4
cs231n.data_utils,4
cs231n.layer_utils,4
matplotlib.animation,4
nltk.corpus,4
starkit.base.operations.spectrograph,4
specutils,4
product_segmentation_functions,4
submission,4
imblearn.over_sampling,4
scipy.linalg,3
sklearn.grid_search,3
keras.preprocessing,3
catboost,3
plotly_express,3
shap,3
matplotlib.dates,3
keras.preprocessing.sequence,3
matplotlib.gridspec,3
statsmodels.tsa.stattools,3
