fileNames,language,imports,numImages
1b33f8f963e34d5c7c312bf60f0aaea3186b5185.ipynb,python2,"[""matplotlib pyplot"", "" matplotlib"", "" numpy"", "" numpy.random"", "" scipy.sparse"", "" scipy.linalg""]",17
d6113cd4137f7d6938e8437e5a6f101928e9ef59.ipynb,python3,"["" tensorflow"", "" numpy"", "" matplotlib.pyplot"", ""tensorflow.examples.tutorials.mnist input_data""]",1
c2339e43d4779fe62bfeed4a032c8314a77783fd.ipynb,python3,"["" pandas"", "" numpy"", "" os"", "" matplotlib.pyplot"", "" seaborn""]",26
5ab864003202c4d0a91612b48b04fce393272d73.ipynb,python3,"["" numpy"", "" matplotlib.pyplot"", "" sklearn"", "" matplotlib"", "" itertools"", ""scipy.misc factorial"", ""sklearn preprocessing"", ""sklearn.decomposition PCA"", "" warnings"", "" sklearn"", ""sklearn.multiclass OneVsRestClassifier"", ""sklearn.svm LinearSVC"", ""sklearn.svm SVC"", ""sklearn.cross_validation train_test_split"", ""sklearn.cross_validation StratifiedKFold"", ""sklearn.cross_validation cross_val_score"", ""sklearn.metrics classification_report"", ""sklearn.metrics f1_score"", ""sklearn.metrics accuracy_score"", ""sklearn.learning_curve validation_curve"", ""sklearn.grid_search GridSearchCV"", ""sklearn tree"", ""sklearn ensemble"", ""sklearn.linear_model LogisticRegressionCV"", ""scipy.stats randint"", ""sklearn.ensemble RandomForestClassifier"", ""sklearn.grid_search RandomizedSearchCV""]",4
a86b1f2c0cf0b09f5c210c39aa9b68c724b84f46.ipynb,python3,"["" re"", "" numpy"", "" igraph"", "" networkx"", "" time"", ""__future__ division"", ""functools wraps"", ""itertools product"", "" networkx"", ""networkx NetworkXError"", ""networkx.utils not_implemented_for"", ""networkx.algorithms.community.community_utils is_partition"", "" matplotlib.pyplot"", ""scipy.cluster.hierarchy dendrogram"", ""scipy.cluster.hierarchy linkage"", ""scipy.cluster.hierarchy cophenet"", ""scipy.spatial.distance pdist""]",1
c06dcd817a6a482b81e969dba329babec858cbe2.ipynb,python3,"["" pandas"", "" re"", "" glob"", "" numpy"", "" nltk"", ""keras.preprocessing sequence"", ""keras.preprocessing.text Tokenizer"", ""keras.models Sequential"", ""keras.models Model"", ""keras.layers Flatten"", ""keras.layers Dense"", ""keras.layers Embedding"", ""keras.layers SimpleRNN"", ""keras.layers LSTM"", ""keras.layers Activation"", ""keras.layers Dropout"", ""keras.layers Input"", ""keras.wrappers.scikit_learn KerasClassifier"", ""keras.optimizers Adam"", "" matplotlib.pyplot""]",6
62dc879d8dfe6e08962218140d1105367632972f.ipynb,python3,"[""IPython.display Image"", "" torch.nn"", "" torch.utils.model_zoo""]",1
ff672e76be3c84251bb1340b5576ceb70b3ac9f7.ipynb,conda-root-py,"["" matplotlib"", "" networkx"", "" visJS2jupyter.visJS_module""]",1
09a7603eef2f7b421f1f08af676c8cda4dc37824.ipynb,python3,"["" pandas"", "" numpy"", ""catboost CatBoostRegressor"", ""catboost Pool"", ""sklearn.preprocessing StandardScaler"", ""sklearn.model_selection GridSearchCV"", ""sklearn.svm NuSVR"", ""sklearn.svm SVR"", ""sklearn.kernel_ridge KernelRidge"", "" matplotlib.pyplot"", ""google.colab files"", ""sklearn.preprocessing StandardScaler"", ""sklearn.model_selection GridSearchCV"", ""sklearn.svm NuSVR"", ""sklearn.svm SVR""]",1
e9ee45843486728f76088a0f10509c7c2ac52f63.ipynb,python3,"["" numpy"", "" pandas"", "" xgboost"", ""sklearn.decomposition PCA"", ""sklearn.tree DecisionTreeRegressor"", ""sklearn.ensemble RandomForestRegressor"", ""sklearn.model_selection train_test_split"", "" seaborn"", "" matplotlib.pyplot"", ""IPython.core.interactiveshell InteractiveShell""]",3
